"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-45.7025,-24.1054,2.9,"Acanthurus chirurgus"
"gbif",-45.7025,-24.1054,6.7,"Acanthurus chirurgus"
"gbif",-45.7025,-24.1054,6.5,"Acanthurus chirurgus"
"gbif",-45.7025,-24.1054,4.92,"Acanthurus chirurgus"
"gbif",-45.7025,-24.1054,1.5,"Acanthurus chirurgus"
"gbif",-45.6997,-24.101,6,"Acanthurus chirurgus"
"gbif",-45.688487,-24.097748,3.7,"Acanthurus chirurgus"
"gbif",-45.688487,-24.097748,2.3,"Acanthurus chirurgus"
"gbif",-45.688487,-24.097748,3.5,"Acanthurus chirurgus"
"gbif",-45.688487,-24.097748,3.4,"Acanthurus chirurgus"
"gbif",-45.688487,-24.097748,7.4,"Acanthurus chirurgus"
"gbif",-45.688487,-24.097748,3.8,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,1.8,"Acanthurus chirurgus"
"gbif",-35.362831,-5.209725,2.7,"Acanthurus chirurgus"
"obis",-65.48794,18.08057,11,"Acanthurus chirurgus"
"obis",-82.8147,24.63918,9.1,"Acanthurus chirurgus"
"obis",-77.3268611,8.6167222,4.5,"Acanthurus chirurgus"
"obis",-83.04329,24.65461,17.3,"Acanthurus chirurgus"
"obis",-81.71187,24.48096,3.2,"Acanthurus chirurgus"
"obis",-80.4144,24.9875,4.1,"Acanthurus chirurgus"
"obis",-81.97166,24.44673,11.9,"Acanthurus chirurgus"
"obis",-80.21027,25.22632,4.9,"Acanthurus chirurgus"
"obis",-82.92985,24.61075,10.4,"Acanthurus chirurgus"
"obis",-65.19714,18.13869,31.5,"Acanthurus chirurgus"
"obis",-82.8965167,24.6034167,4.3,"Acanthurus chirurgus"
"obis",-80.1862832,25.3692167,3.7,"Acanthurus chirurgus"
"obis",-82.80505,24.71103,4.9,"Acanthurus chirurgus"
"obis",-80.9638499,24.6728167,8.1,"Acanthurus chirurgus"
"obis",-82.84247,24.71481,10.1,"Acanthurus chirurgus"
"obis",-80.3771667,25.0378333,3.7,"Acanthurus chirurgus"
"obis",-81.66127,24.49498,1.4,"Acanthurus chirurgus"
"obis",-81.3956833,24.5641167,7.2,"Acanthurus chirurgus"
"obis",-80.1014999,25.5736834,7.5,"Acanthurus chirurgus"
"obis",-80.3630667,25.0219,11.1,"Acanthurus chirurgus"
"obis",-80.5379999,24.9061501,7.9,"Acanthurus chirurgus"
"obis",-80.6829667,24.8029667,10.7,"Acanthurus chirurgus"
"obis",-80.2816666,25.1153,10.1,"Acanthurus chirurgus"
"obis",-64.5716,17.74337,14,"Acanthurus chirurgus"
"obis",-80.28373,25.13306,8.5,"Acanthurus chirurgus"
"obis",-80.47223,24.95421,5.2,"Acanthurus chirurgus"
"obis",-81.8935833,24.4526834,7,"Acanthurus chirurgus"
"obis",-80.2125333,25.2129,5,"Acanthurus chirurgus"
"obis",-64.94592,18.28068,20,"Acanthurus chirurgus"
"obis",-66.52824,17.89507,4,"Acanthurus chirurgus"
"obis",-83.0557333,24.6171333,16,"Acanthurus chirurgus"
"obis",-80.244267,25.1538,22.1,"Acanthurus chirurgus"
"obis",-81.6603167,24.4926333,4.6,"Acanthurus chirurgus"
"obis",-82.93079,24.64285,7.2,"Acanthurus chirurgus"
"obis",-64.86058,18.31257,7,"Acanthurus chirurgus"
"obis",-80.5320666,24.9033167,13.6,"Acanthurus chirurgus"
"obis",-81.2908333,24.574,11.6,"Acanthurus chirurgus"
"obis",-81.52082,24.52771,3.8,"Acanthurus chirurgus"
"obis",-80.3184833,25.0749333,7.6,"Acanthurus chirurgus"
"obis",-80.09379,25.62117,11.3,"Acanthurus chirurgus"
